team_name,rider_name,rider_id,points
Jumbo-Visma (WT),VINGEGAARD Jonas,rider/jonas-vingegaard-rasmussen,4
Jumbo-Visma (WT),BENOOT Tiesj,rider/tiesj-benoot,0
Jumbo-Visma (WT),KELDERMAN Wilco,rider/wilco-kelderman,0
Jumbo-Visma (WT),KUSS Sepp,rider/sepp-kuss,0
Jumbo-Visma (WT),LAPORTE Christophe,rider/christophe-laporte,2
Jumbo-Visma (WT),VAN AERT Wout,rider/wout-van-aert,4
Jumbo-Visma (WT),VAN BAARLE Dylan,rider/dylan-van-baarle,0
Jumbo-Visma (WT),VAN HOOYDONCK Nathan,rider/nathan-van-hooydonck,0
UAE Team Emirates (WT),POGAČAR Tadej,rider/tadej-pogacar,4
UAE Team Emirates (WT),BJERG Mikkel,rider/mikkel-bjerg,0
UAE Team Emirates (WT),GROßSCHARTNER Felix,rider/felix-grossschartner,0
UAE Team Emirates (WT),LAENGEN Vegard Stake,rider/vegard-stake-laengen,0
UAE Team Emirates (WT),MAJKA Rafał,rider/rafal-majka,0
UAE Team Emirates (WT),SOLER Marc,rider/marc-soler,0
UAE Team Emirates (WT),TRENTIN Matteo,rider/matteo-trentin,0
UAE Team Emirates (WT),YATES Adam,rider/adam-yates,0
INEOS Grenadiers (WT),BERNAL Egan,rider/egan-bernal,0
INEOS Grenadiers (WT),CASTROVIEJO Jonathan,rider/jonathan-castroviejo,0
INEOS Grenadiers (WT),FRAILE Omar,rider/omar-fraile,0
INEOS Grenadiers (WT),KWIATKOWSKI Michał,rider/michal-kwiatkowski,0
INEOS Grenadiers (WT),MARTÍNEZ Daniel Felipe,rider/daniel-felipe-martinez,0
INEOS Grenadiers (WT),PIDCOCK Thomas,rider/thomas-pidcock,2
INEOS Grenadiers (WT),RODRÍGUEZ Carlos,rider/carlos-rodriguez-cano,0
INEOS Grenadiers (WT),TURNER Ben,rider/ben-turner,0
Groupama - FDJ (WT),GAUDU David,rider/david-gaudu,2
Groupama - FDJ (WT),GENIETS Kevin,rider/kevin-geniets,0
Groupama - FDJ (WT),KÜNG Stefan,rider/stefan-kung,0
Groupama - FDJ (WT),LE GAC Olivier,rider/olivier-le-gac,0
Groupama - FDJ (WT),MADOUAS Valentin,rider/valentin-madouas,0
Groupama - FDJ (WT),PACHER Quentin,rider/quentin-pacher,0
Groupama - FDJ (WT),PINOT Thibaut,rider/thibaut-pinot,0
Groupama - FDJ (WT),VAN DEN BERG Lars,rider/lars-van-den-berg,0
EF Education-EasyPost (WT),CARAPAZ Richard,rider/richard-carapaz,0
EF Education-EasyPost (WT),AMADOR Andrey,rider/andrey-amador,0
EF Education-EasyPost (WT),BETTIOL Alberto,rider/alberto-bettiol,0
EF Education-EasyPost (WT),CHAVES Esteban,rider/johan-esteban-chaves,0
EF Education-EasyPost (WT),CORT Magnus,rider/magnus-cort-nielsen,0
EF Education-EasyPost (WT),POWLESS Neilson,rider/neilson-powless,0
EF Education-EasyPost (WT),SHAW James,rider/james-shaw,0
EF Education-EasyPost (WT),URÁN Rigoberto,rider/rigoberto-uran,0
Soudal - Quick Step (WT),ALAPHILIPPE Julian,rider/julian-alaphilippe,2
Soudal - Quick Step (WT),ASGREEN Kasper,rider/kasper-asgreen,0
Soudal - Quick Step (WT),CAVAGNA Rémi,rider/remi-cavagna,0
Soudal - Quick Step (WT),DECLERCQ Tim,rider/tim-declercq,0
Soudal - Quick Step (WT),DEVENYNS Dries,rider/dries-devenyns,0
Soudal - Quick Step (WT),JAKOBSEN Fabio,rider/fabio-jakobsen,4
Soudal - Quick Step (WT),LAMPAERT Yves,rider/yves-lampaert,0
Soudal - Quick Step (WT),MØRKØV Michael,rider/michael-morkov,0
Bahrain - Victorious (WT),LANDA Mikel,rider/mikel-landa,0
Bahrain - Victorious (WT),ARNDT Nikias,rider/nikias-arndt,0
Bahrain - Victorious (WT),BAUHAUS Phil,rider/phil-bauhaus,0
Bahrain - Victorious (WT),BILBAO Pello,rider/pello-bilbao,0
Bahrain - Victorious (WT),HAIG Jack,rider/jack-haig,0
Bahrain - Victorious (WT),MOHORIČ Matej,rider/matej-mohoric,0
Bahrain - Victorious (WT),POELS Wout,rider/wout-poels,0
Bahrain - Victorious (WT),WRIGHT Fred,rider/alfred-wright,0
BORA - hansgrohe (WT),HINDLEY Jai,rider/jai-hindley,0
BORA - hansgrohe (WT),BUCHMANN Emanuel,rider/emanuel-buchmann,0
BORA - hansgrohe (WT),HALLER Marco,rider/marco-haller,0
BORA - hansgrohe (WT),JUNGELS Bob,rider/bob-jungels,0
BORA - hansgrohe (WT),KONRAD Patrick,rider/patrick-konrad,0
BORA - hansgrohe (WT),MEEUS Jordi,rider/jordi-meeus,0
BORA - hansgrohe (WT),POLITT Nils,rider/nils-politt,0
BORA - hansgrohe (WT),VAN POPPEL Danny,rider/danny-van-poppel,0
Lidl - Trek (WT),CICCONE Giulio,rider/giulio-ciccone,0
Lidl - Trek (WT),GALLOPIN Tony,rider/tony-gallopin,0
Lidl - Trek (WT),SKJELMOSE Mattias,rider/mattias-skjelmose-jensen,0
Lidl - Trek (WT),KIRSCH Alex,rider/alex-kirsch,0
Lidl - Trek (WT),LÓPEZ Juan Pedro,rider/juan-pedro-lopez,0
Lidl - Trek (WT),PEDERSEN Mads,rider/mads-pedersen,2
Lidl - Trek (WT),SIMMONS Quinn,rider/quinn-simmons,0
Lidl - Trek (WT),STUYVEN Jasper,rider/jasper-stuyven,0
AG2R Citroën Team (WT),O'CONNOR Ben,rider/ben-o-connor,0
AG2R Citroën Team (WT),BERTHET Clément,rider/clement-berthet,0
AG2R Citroën Team (WT),COSNEFROY Benoît,rider/benoit-cosnefroy,0
AG2R Citroën Team (WT),DEWULF Stan,rider/stan-dewulf,0
AG2R Citroën Team (WT),GALL Felix,rider/felix-gall,0
AG2R Citroën Team (WT),NAESEN Oliver,rider/oliver-naesen,0
AG2R Citroën Team (WT),PARET-PEINTRE Aurélien,rider/aurelien-paret-peintre,0
AG2R Citroën Team (WT),PETERS Nans,rider/nans-peters,0
Alpecin-Deceuninck (WT),VAN DER POEL Mathieu,rider/mathieu-van-der-poel,4
Alpecin-Deceuninck (WT),DILLIER Silvan,rider/silvan-dillier,0
Alpecin-Deceuninck (WT),GOGL Michael,rider/michael-gogl,0
Alpecin-Deceuninck (WT),HERMANS Quinten,rider/quinten-hermans,0
Alpecin-Deceuninck (WT),KRAGH ANDERSEN Søren,rider/soren-kragh-andersen,0
Alpecin-Deceuninck (WT),PHILIPSEN Jasper,rider/jasper-philipsen,4
Alpecin-Deceuninck (WT),RICKAERT Jonas,rider/jonas-rickaert,0
Alpecin-Deceuninck (WT),SINKELDAM Ramon,rider/ramon-sinkeldam,0
Intermarché - Circus - Wanty (WT),GIRMAY Biniam,rider/biniam-girmay,0
Intermarché - Circus - Wanty (WT),CALMEJANE Lilian,rider/lilian-calmejane,0
Intermarché - Circus - Wanty (WT),COSTA Rui,rider/rui-costa,0
Intermarché - Circus - Wanty (WT),MEINTJES Louis,rider/louis-meintjes,0
Intermarché - Circus - Wanty (WT),PETIT Adrien,rider/adrien-petit,0
Intermarché - Circus - Wanty (WT),SMITH Dion,rider/dion-smith,0
Intermarché - Circus - Wanty (WT),TEUNISSEN Mike,rider/mike-teunissen,0
Intermarché - Circus - Wanty (WT),ZIMMERMANN Georg,rider/georg-zimmermann,0
Cofidis (WT),MARTIN Guillaume,rider/guillaume-martin,0
Cofidis (WT),COQUARD Bryan,rider/bryan-coquard,0
Cofidis (WT),GESCHKE Simon,rider/simon-geschke,0
Cofidis (WT),IZAGIRRE Ion,rider/ion-izagirre,0
Cofidis (WT),LAFAY Victor,rider/victor-lafay,0
Cofidis (WT),PEREZ Anthony,rider/anthony-perez,0
Cofidis (WT),RENARD Alexis,rider/alexis-renard,0
Cofidis (WT),ZINGLE Axel,rider/axel-zingle,0
Movistar Team (WT),MAS Enric,rider/enric-mas,2
Movistar Team (WT),GUERREIRO Ruben,rider/ruben-guerreiro,0
Movistar Team (WT),ARANBURU Alex,rider/alex-aranburu,0
Movistar Team (WT),IZAGIRRE Gorka,rider/gorka-izagirre,0
Movistar Team (WT),JORGENSON Matteo,rider/matteo-jorgenson,0
Movistar Team (WT),MÜHLBERGER Gregor,rider/gregor-muhlberger,0
Movistar Team (WT),OLIVEIRA Nelson,rider/nelson-oliveira,0
Movistar Team (WT),PEDRERO Antonio,rider/antonio-pedrero,0
Team dsm - firmenich (WT),BARDET Romain,rider/romain-bardet,0
Team dsm - firmenich (WT),DEGENKOLB John,rider/john-degenkolb,0
Team dsm - firmenich (WT),DINHAM Matthew,rider/matthew-dinham,0
Team dsm - firmenich (WT),EDMONDSON Alex,rider/alexander-edmondson,0
Team dsm - firmenich (WT),EEKHOFF Nils,rider/nils-eekhoff,0
Team dsm - firmenich (WT),HAMILTON Chris,rider/chris-hamilton,0
Team dsm - firmenich (WT),VERMAERKE Kevin,rider/kevin-vermaerke,0
Team dsm - firmenich (WT),WELSFORD Sam,rider/sam-welsford,0
Israel - Premier Tech (PRT),WOODS Michael,rider/michael-woods,0
Israel - Premier Tech (PRT),BOIVIN Guillaume,rider/guillaume-boivin,0
Israel - Premier Tech (PRT),CLARKE Simon,rider/simon-clarke,0
Israel - Premier Tech (PRT),HOULE Hugo,rider/hugo-houle,0
Israel - Premier Tech (PRT),NEILANDS Krists,rider/krists-neilands,0
Israel - Premier Tech (PRT),SCHULTZ Nick,rider/nick-schultz,0
Israel - Premier Tech (PRT),STRONG Corbin,rider/corbin-strong,0
Israel - Premier Tech (PRT),TEUNS Dylan,rider/dylan-teuns,0
Team Jayco AlUla (WT),YATES Simon,rider/simon-yates,2
Team Jayco AlUla (WT),CRADDOCK Lawson,rider/lawson-craddock,0
Team Jayco AlUla (WT),DURBRIDGE Luke,rider/luke-durbridge,0
Team Jayco AlUla (WT),GROENEWEGEN Dylan,rider/dylan-groenewegen,2
Team Jayco AlUla (WT),HARPER Chris,rider/chris-harper,0
Team Jayco AlUla (WT),JUUL-JENSEN Christopher,rider/christopher-juul-jensen,0
Team Jayco AlUla (WT),MEZGEC Luka,rider/luka-mezgec,0
Team Jayco AlUla (WT),REINDERS Elmar,rider/elmar-reinders,0
Team Arkéa Samsic (WT),BARGUIL Warren,rider/warren-barguil,0
Team Arkéa Samsic (WT),BIERMANS Jenthe,rider/jenthe-biermans,0
Team Arkéa Samsic (WT),CHAMPOUSSIN Clément,rider/clement-champoussin,0
Team Arkéa Samsic (WT),DELAPLACE Anthony,rider/anthony-delaplace,0
Team Arkéa Samsic (WT),GUGLIELMI Simon,rider/simon-guglielmi,0
Team Arkéa Samsic (WT),LOUVEL Matis,rider/matis-louvel,0
Team Arkéa Samsic (WT),MOZZATO Luca,rider/luca-mozzato,0
Team Arkéa Samsic (WT),PICHON Laurent,rider/laurent-pichon,0
Lotto Dstny (PRT),EWAN Caleb,rider/caleb-ewan,2
Lotto Dstny (PRT),CAMPENAERTS Victor,rider/victor-campenaerts,0
Lotto Dstny (PRT),DE BUYST Jasper,rider/jasper-de-buyst,0
Lotto Dstny (PRT),EENKHOORN Pascal,rider/pascal-eenkhoorn,0
Lotto Dstny (PRT),FRISON Frederik,rider/frederik-frison,0
Lotto Dstny (PRT),GUARNIERI Jacopo,rider/jacopo-guarnieri,0
Lotto Dstny (PRT),VAN GILS Maxim,rider/maxim-van-gils,0
Lotto Dstny (PRT),VERMEERSCH Florian,rider/florian-vermeersch,0
Astana Qazaqstan Team (WT),CAVENDISH Mark,rider/mark-cavendish,0
Astana Qazaqstan Team (WT),BOL Cees,rider/cees-bol,0
Astana Qazaqstan Team (WT),DE LA CRUZ David,rider/david-de-la-cruz,0
Astana Qazaqstan Team (WT),FEDOROV Yevgeniy,rider/yevgeniy-fedorov,0
Astana Qazaqstan Team (WT),LUTSENKO Alexey,rider/aleksey-lutsenko,0
Astana Qazaqstan Team (WT),MOSCON Gianni,rider/gianni-moscon,0
Astana Qazaqstan Team (WT),SÁNCHEZ Luis León,rider/luis-leon-sanchez,0
Astana Qazaqstan Team (WT),TEJADA Harold,rider/harold-tejada,0
Uno-X Pro Cycling Team (PRT),KRISTOFF Alexander,rider/alexander-kristoff,0
Uno-X Pro Cycling Team (PRT),ABRAHAMSEN Jonas,rider/jonas-abrahamsen,0
Uno-X Pro Cycling Team (PRT),CHARMIG Anthon,rider/anthon-charmig,0
Uno-X Pro Cycling Team (PRT),JOHANNESSEN Tobias Halland,rider/tobias-halland-johannessen,0
Uno-X Pro Cycling Team (PRT),TILLER Rasmus,rider/rasmus-tiller,0
Uno-X Pro Cycling Team (PRT),TRÆEN Torstein,rider/torstein-traeen,0
Uno-X Pro Cycling Team (PRT),WÆRENSKJOLD Søren,rider/soren-waerenskjold,0
Uno-X Pro Cycling Team (PRT),GREGAARD Jonas,rider/jonas-gregaard,0
TotalEnergies (PRT),SAGAN Peter,rider/peter-sagan,0
TotalEnergies (PRT),BOASSON HAGEN Edvald,rider/edvald-boasson-hagen,0
TotalEnergies (PRT),BURGAUDEAU Mathieu,rider/mathieu-burgaudeau,0
TotalEnergies (PRT),CRAS Steff,rider/steff-cras,0
TotalEnergies (PRT),FERRON Valentin,rider/valentin-ferron,0
TotalEnergies (PRT),LATOUR Pierre,rider/pierre-latour,0
TotalEnergies (PRT),OSS Daniel,rider/daniel-oss,0
TotalEnergies (PRT),TURGIS Anthony,rider/anthony-turgis,0